threshold,accepted_trade_count,accept_rate_vs_baseline,pnl_net,total_fees,total_slippage,win_rate,expected_shortfall_95,per_regime_accept_rate
0.05,112,0.7671232876712328,-773.3270203303493,537.5999999999999,268.79999999999995,0.24107142857142858,-22.047757777002655,"{'RANGE': 1.0, 'TREND': 0.7655172413793103}"
0.1,100,0.684931506849315,-697.6227225273713,479.99999999999994,239.99999999999997,0.25,-22.510339614452356,"{'RANGE': 1.0, 'TREND': 0.6827586206896552}"
0.15,74,0.5068493150684932,-577.7483332954779,355.2,177.6,0.25675675675675674,-23.193553628535994,"{'RANGE': 1.0, 'TREND': 0.503448275862069}"
0.2,51,0.3493150684931507,-410.88865226511905,244.80000000000004,122.40000000000002,0.23529411764705882,-21.486224929269138,"{'RANGE': 1.0, 'TREND': 0.3448275862068966}"
0.25,31,0.21232876712328766,-220.675642051812,148.80000000000004,74.40000000000002,0.2903225806451613,-22.36191309902663,"{'RANGE': 1.0, 'TREND': 0.20689655172413793}"
0.3,19,0.13013698630136986,-112.41089516409427,91.19999999999999,45.599999999999994,0.3684210526315789,-23.082843117453624,"{'RANGE': 1.0, 'TREND': 0.12413793103448276}"
0.35,4,0.0273972602739726,-14.702693991587173,19.2,9.6,0.5,-18.148459692918422,"{'RANGE': 1.0, 'TREND': 0.020689655172413793}"
0.4,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.45,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.5,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.55,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.6,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.65,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.7,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.75,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.8,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.85,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.9,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
0.95,2,0.0136986301369863,18.302700664029437,9.6,4.8,1.0,8.095894968383929,"{'RANGE': 1.0, 'TREND': 0.006896551724137931}"
